Dwelling Type;Climate Zone;Construction Period;Size Factor;Heating System;Initial Age;Headcount
CID;H2;2;S;GB;15;3406
CID;H2;2;S;GB;16;3406
CID;H2;2;S;GB;17;3406
CID;H2;2;S;GB;18;3406
CID;H2;2;S;GB;19;3406
CID;H2;2;S;CGB;0;1135
CID;H2;2;S;CGB;1;1135
CID;H2;2;S;CGB;2;1135
CID;H2;2;S;CGB;3;1135
CID;H2;2;S;CGB;4;1135
CID;H2;2;S;CGB;5;795
CID;H2;2;S;CGB;6;795
CID;H2;2;S;CGB;7;795
CID;H2;2;S;CGB;8;795
CID;H2;2;S;CGB;9;795
CID;H2;2;S;CGB;10;341
CID;H2;2;S;CGB;11;341
CID;H2;2;S;CGB;12;341
CID;H2;2;S;CGB;13;341
CID;H2;2;S;CGB;14;341
CID;H2;2;S;CGB;15;0
CID;H2;2;S;CGB;16;0
CID;H2;2;S;CGB;17;0
CID;H2;2;S;CGB;18;0
CID;H2;2;S;CGB;19;0
CID;H2;2;S;OB;0;4
CID;H2;2;S;OB;1;4
CID;H2;2;S;OB;2;4
CID;H2;2;S;OB;3;4
CID;H2;2;S;OB;4;4
CID;H2;2;S;OB;5;11
CID;H2;2;S;OB;6;11
CID;H2;2;S;OB;7;11
CID;H2;2;S;OB;8;11
CID;H2;2;S;OB;9;11
CID;H2;2;S;OB;10;27
CID;H2;2;S;OB;11;27
CID;H2;2;S;OB;12;27
CID;H2;2;S;OB;13;27
CID;H2;2;S;OB;14;27
CID;H2;2;S;OB;15;42
CID;H2;2;S;OB;16;42
CID;H2;2;S;OB;17;42
CID;H2;2;S;OB;18;42
CID;H2;2;S;OB;19;42
CID;H2;2;S;COB;0;11
CID;H2;2;S;COB;1;11
CID;H2;2;S;COB;2;11
CID;H2;2;S;COB;3;11
CID;H2;2;S;COB;4;11
CID;H2;2;S;COB;5;7
CID;H2;2;S;COB;6;7
CID;H2;2;S;COB;7;7
CID;H2;2;S;COB;8;7
CID;H2;2;S;COB;9;7
CID;H2;2;S;COB;10;3
CID;H2;2;S;COB;11;3
CID;H2;2;S;COB;12;3
CID;H2;2;S;COB;13;3
CID;H2;2;S;COB;14;3
CID;H2;2;S;COB;15;0
CID;H2;2;S;COB;16;0
CID;H2;2;S;COB;17;0
CID;H2;2;S;COB;18;0
CID;H2;2;S;COB;19;0
CID;H2;2;S;EHP2;0;0
CID;H2;2;S;EHP2;1;0
CID;H2;2;S;EHP2;2;0
CID;H2;2;S;EHP2;3;0
CID;H2;2;S;EHP2;4;0
CID;H2;2;S;EHP2;5;0
CID;H2;2;S;EHP2;6;0
CID;H2;2;S;EHP2;7;0
CID;H2;2;S;EHP2;8;0
CID;H2;2;S;EHP2;9;0
CID;H2;2;S;EHP2;10;0
CID;H2;2;S;EHP2;11;0
CID;H2;2;S;EHP2;12;0
CID;H2;2;S;EHP2;13;0
CID;H2;2;S;EHP2;14;0
CID;H2;2;S;EHP2;15;0
CID;H2;2;S;EHP2;16;0
CID;H2;2;S;EHP2;17;0
CID;H2;2;S;EHP2;18;0
CID;H2;2;S;EHP2;19;0
CID;H2;2;S;WB;0;0
CID;H2;2;S;WB;1;0
CID;H2;2;S;WB;2;0
CID;H2;2;S;WB;3;0
CID;H2;2;S;WB;4;0
CID;H2;2;S;WB;5;0
CID;H2;2;S;WB;6;0
CID;H2;2;S;WB;7;0
CID;H2;2;S;WB;8;0
CID;H2;2;S;WB;9;0
CID;H2;2;S;WB;10;0
CID;H2;2;S;WB;11;0
CID;H2;2;S;WB;12;0
CID;H2;2;S;WB;13;0
CID;H2;2;S;WB;14;0
CID;H2;2;S;WB;15;0
CID;H2;2;S;WB;16;0
CID;H2;2;S;WB;17;0
CID;H2;2;S;WB;18;0
CID;H2;2;S;WB;19;0
CID;H2;2;S;WPB;0;0
CID;H2;2;S;WPB;1;0
CID;H2;2;S;WPB;2;0
CID;H2;2;S;WPB;3;0
CID;H2;2;S;WPB;4;0
CID;H2;2;S;WPB;5;0
CID;H2;2;S;WPB;6;0
CID;H2;2;S;WPB;7;0
CID;H2;2;S;WPB;8;0
CID;H2;2;S;WPB;9;0
CID;H2;2;S;WPB;10;0
CID;H2;2;S;WPB;11;0
CID;H2;2;S;WPB;12;0
CID;H2;2;S;WPB;13;0
CID;H2;2;S;WPB;14;0
CID;H2;2;S;WPB;15;0
CID;H2;2;S;WPB;16;0
CID;H2;2;S;WPB;17;0
CID;H2;2;S;WPB;18;0
CID;H2;2;S;WPB;19;0
CID;H2;2;S;EHP;0;0
CID;H2;2;S;EHP;1;0
CID;H2;2;S;EHP;2;0
CID;H2;2;S;EHP;3;0
CID;H2;2;S;EHP;4;0
CID;H2;2;S;EHP;5;0
CID;H2;2;S;EHP;6;0
CID;H2;2;S;EHP;7;0
CID;H2;2;S;EHP;8;0
CID;H2;2;S;EHP;9;0
CID;H2;2;S;EHP;10;0
CID;H2;2;S;EHP;11;0
CID;H2;2;S;EHP;12;0
CID;H2;2;S;EHP;13;0
CID;H2;2;S;EHP;14;0
CID;H2;2;S;EHP;15;0
CID;H2;2;S;EHP;16;0
CID;H2;2;S;EHP;17;0
CID;H2;2;S;EHP;18;0
CID;H2;2;S;EHP;19;0
CID;H2;2;L;ER;0;1285
CID;H2;2;L;ER;1;1285
CID;H2;2;L;ER;2;1285
CID;H2;2;L;ER;3;1285
CID;H2;2;L;ER;4;1285
CID;H2;2;L;ER;5;1285
CID;H2;2;L;ER;6;1285
CID;H2;2;L;ER;7;1285
CID;H2;2;L;ER;8;1285
CID;H2;2;L;ER;9;1285
CID;H2;2;L;ER;10;3855
CID;H2;2;L;ER;11;3855
CID;H2;2;L;ER;12;3855
CID;H2;2;L;ER;13;3855
CID;H2;2;L;ER;14;3855
CID;H2;2;L;ER;15;3855
CID;H2;2;L;ER;16;3855
CID;H2;2;L;ER;17;3855
CID;H2;2;L;ER;18;3855
CID;H2;2;L;ER;19;3855
CID;H2;2;L;GB;0;866
CID;H2;2;L;GB;1;866
CID;H2;2;L;GB;2;866
CID;H2;2;L;GB;3;866
CID;H2;2;L;GB;4;866
CID;H2;2;L;GB;5;1299
CID;H2;2;L;GB;6;1299
CID;H2;2;L;GB;7;1299
CID;H2;2;L;GB;8;1299
CID;H2;2;L;GB;9;1299
CID;H2;2;L;GB;10;3248
CID;H2;2;L;GB;11;3248
CID;H2;2;L;GB;12;3248
CID;H2;2;L;GB;13;3248
CID;H2;2;L;GB;14;3248
CID;H2;2;L;GB;15;3248
CID;H2;2;L;GB;16;3248
CID;H2;2;L;GB;17;3248
CID;H2;2;L;GB;18;3248
CID;H2;2;L;GB;19;3248
CID;H2;2;L;CGB;0;1083
CID;H2;2;L;CGB;1;1083
CID;H2;2;L;CGB;2;1083
CID;H2;2;L;CGB;3;1083
CID;H2;2;L;CGB;4;1083
CID;H2;2;L;CGB;5;758
CID;H2;2;L;CGB;6;758
CID;H2;2;L;CGB;7;758
CID;H2;2;L;CGB;8;758
CID;H2;2;L;CGB;9;758
CID;H2;2;L;CGB;10;325
CID;H2;2;L;CGB;11;325
CID;H2;2;L;CGB;12;325
CID;H2;2;L;CGB;13;325
CID;H2;2;L;CGB;14;325
CID;H2;2;L;CGB;15;0
CID;H2;2;L;CGB;16;0
CID;H2;2;L;CGB;17;0
CID;H2;2;L;CGB;18;0
CID;H2;2;L;CGB;19;0
CID;H2;2;L;OB;0;25
CID;H2;2;L;OB;1;25
CID;H2;2;L;OB;2;25
CID;H2;2;L;OB;3;25
CID;H2;2;L;OB;4;25
CID;H2;2;L;OB;5;63
CID;H2;2;L;OB;6;63
CID;H2;2;L;OB;7;63
CID;H2;2;L;OB;8;63
CID;H2;2;L;OB;9;63
CID;H2;2;L;OB;10;164
CID;H2;2;L;OB;11;164
CID;H2;2;L;OB;12;164
CID;H2;2;L;OB;13;164
CID;H2;2;L;OB;14;164
CID;H2;2;L;OB;15;252
CID;H2;2;L;OB;16;252
CID;H2;2;L;OB;17;252
CID;H2;2;L;OB;18;252
CID;H2;2;L;OB;19;252
CID;H2;2;L;COB;0;63
CID;H2;2;L;COB;1;63
CID;H2;2;L;COB;2;63
CID;H2;2;L;COB;3;63
CID;H2;2;L;COB;4;63
CID;H2;2;L;COB;5;44
CID;H2;2;L;COB;6;44
CID;H2;2;L;COB;7;44
CID;H2;2;L;COB;8;44
CID;H2;2;L;COB;9;44
CID;H2;2;L;COB;10;19
CID;H2;2;L;COB;11;19
CID;H2;2;L;COB;12;19
CID;H2;2;L;COB;13;19
CID;H2;2;L;COB;14;19
CID;H2;2;L;COB;15;0
CID;H2;2;L;COB;16;0
CID;H2;2;L;COB;17;0
CID;H2;2;L;COB;18;0
CID;H2;2;L;COB;19;0
CID;H2;2;L;EHP2;0;0
CID;H2;2;L;EHP2;1;0
CID;H2;2;L;EHP2;2;0
CID;H2;2;L;EHP2;3;0
CID;H2;2;L;EHP2;4;0
CID;H2;2;L;EHP2;5;0
CID;H2;2;L;EHP2;6;0
CID;H2;2;L;EHP2;7;0
CID;H2;2;L;EHP2;8;0
CID;H2;2;L;EHP2;9;0
CID;H2;2;L;EHP2;10;0
CID;H2;2;L;EHP2;11;0
CID;H2;2;L;EHP2;12;0
CID;H2;2;L;EHP2;13;0
CID;H2;2;L;EHP2;14;0
CID;H2;2;L;EHP2;15;0
CID;H2;2;L;EHP2;16;0
CID;H2;2;L;EHP2;17;0
CID;H2;2;L;EHP2;18;0
CID;H2;2;L;EHP2;19;0
CID;H2;2;L;WB;0;0
CID;H2;2;L;WB;1;0
CID;H2;2;L;WB;2;0
CID;H2;2;L;WB;3;0
CID;H2;2;L;WB;4;0
CID;H2;2;L;WB;5;0
CID;H2;2;L;WB;6;0
CID;H2;2;L;WB;7;0
CID;H2;2;L;WB;8;0
CID;H2;2;L;WB;9;0
CID;H2;2;L;WB;10;0
CID;H2;2;L;WB;11;0
CID;H2;2;L;WB;12;0
CID;H2;2;L;WB;13;0
CID;H2;2;L;WB;14;0
CID;H2;2;L;WB;15;0
CID;H2;2;L;WB;16;0
CID;H2;2;L;WB;17;0
CID;H2;2;L;WB;18;0
CID;H2;2;L;WB;19;0
CID;H2;2;L;WPB;0;0
CID;H2;2;L;WPB;1;0
CID;H2;2;L;WPB;2;0
CID;H2;2;L;WPB;3;0
CID;H2;2;L;WPB;4;0
CID;H2;2;L;WPB;5;0
CID;H2;2;L;WPB;6;0
CID;H2;2;L;WPB;7;0
CID;H2;2;L;WPB;8;0
CID;H2;2;L;WPB;9;0
CID;H2;2;L;WPB;10;0
CID;H2;2;L;WPB;11;0
CID;H2;2;L;WPB;12;0
CID;H2;2;L;WPB;13;0
CID;H2;2;L;WPB;14;0
CID;H2;2;L;WPB;15;0
CID;H2;2;L;WPB;16;0
CID;H2;2;L;WPB;17;0
CID;H2;2;L;WPB;18;0
CID;H2;2;L;WPB;19;0
CID;H2;2;L;EHP;0;0
CID;H2;2;L;EHP;1;0
CID;H2;2;L;EHP;2;0
CID;H2;2;L;EHP;3;0
CID;H2;2;L;EHP;4;0
CID;H2;2;L;EHP;5;0
CID;H2;2;L;EHP;6;0
CID;H2;2;L;EHP;7;0
CID;H2;2;L;EHP;8;0
CID;H2;2;L;EHP;9;0
CID;H2;2;L;EHP;10;0
CID;H2;2;L;EHP;11;0
CID;H2;2;L;EHP;12;0
CID;H2;2;L;EHP;13;0
CID;H2;2;L;EHP;14;0
CID;H2;2;L;EHP;15;0
CID;H2;2;L;EHP;16;0
CID;H2;2;L;EHP;17;0
CID;H2;2;L;EHP;18;0
CID;H2;2;L;EHP;19;0
CID;H2;3;M;ER;0;921
CID;H2;3;M;ER;1;921
CID;H2;3;M;ER;2;921
CID;H2;3;M;ER;3;921
CID;H2;3;M;ER;4;921
CID;H2;3;M;ER;5;921
CID;H2;3;M;ER;6;921
CID;H2;3;M;ER;7;921
CID;H2;3;M;ER;8;921
CID;H2;3;M;ER;9;921
CID;H2;3;M;ER;10;2762
CID;H2;3;M;ER;11;2762
CID;H2;3;M;ER;12;2762
CID;H2;3;M;ER;13;2762
CID;H2;3;M;ER;14;2762
CID;H2;3;M;ER;15;2762
CID;H2;3;M;ER;16;2762
CID;H2;3;M;ER;17;2762
CID;H2;3;M;ER;18;2762
CID;H2;3;M;ER;19;2762
CID;H2;3;M;GB;0;656
CID;H2;3;M;GB;1;656
CID;H2;3;M;GB;2;656
CID;H2;3;M;GB;3;656
CID;H2;3;M;GB;4;656
CID;H2;3;M;GB;5;984
CID;H2;3;M;GB;6;984
CID;H2;3;M;GB;7;984
CID;H2;3;M;GB;8;984
CID;H2;3;M;GB;9;984
CID;H2;3;M;GB;10;2460
CID;H2;3;M;GB;11;2460
CID;H2;3;M;GB;12;2460
CID;H2;3;M;GB;13;2460
CID;H2;3;M;GB;14;2460
CID;H2;3;M;GB;15;2460
CID;H2;3;M;GB;16;2460
CID;H2;3;M;GB;17;2460
CID;H2;3;M;GB;18;2460
CID;H2;3;M;GB;19;2460
CID;H2;3;M;CGB;0;820
CID;H2;3;M;CGB;1;820
CID;H2;3;M;CGB;2;820
CID;H2;3;M;CGB;3;820
CID;H2;3;M;CGB;4;820
CID;H2;3;M;CGB;5;574
CID;H2;3;M;CGB;6;574
CID;H2;3;M;CGB;7;574
CID;H2;3;M;CGB;8;574
CID;H2;3;M;CGB;9;574
CID;H2;3;M;CGB;10;246
CID;H2;3;M;CGB;11;246
CID;H2;3;M;CGB;12;246
CID;H2;3;M;CGB;13;246
CID;H2;3;M;CGB;14;246
CID;H2;3;M;CGB;15;0
CID;H2;3;M;CGB;16;0
CID;H2;3;M;CGB;17;0
CID;H2;3;M;CGB;18;0
CID;H2;3;M;CGB;19;0
CID;H2;3;M;OB;0;0
CID;H2;3;M;OB;1;0
CID;H2;3;M;OB;2;0
CID;H2;3;M;OB;3;0
CID;H2;3;M;OB;4;0
CID;H2;3;M;OB;5;1
CID;H2;3;M;OB;6;1
CID;H2;3;M;OB;7;1
CID;H2;3;M;OB;8;1
CID;H2;3;M;OB;9;1
CID;H2;3;M;OB;10;3
CID;H2;3;M;OB;11;3
CID;H2;3;M;OB;12;3
CID;H2;3;M;OB;13;3
CID;H2;3;M;OB;14;3
CID;H2;3;M;OB;15;5
CID;H2;3;M;OB;16;5
CID;H2;3;M;OB;17;5
CID;H2;3;M;OB;18;5
CID;H2;3;M;OB;19;5
CID;H2;3;M;COB;0;1
CID;H2;3;M;COB;1;1
CID;H2;3;M;COB;2;1
CID;H2;3;M;COB;3;1
CID;H2;3;M;COB;4;1
CID;H2;3;M;COB;5;1
CID;H2;3;M;COB;6;1
CID;H2;3;M;COB;7;1
CID;H2;3;M;COB;8;1
CID;H2;3;M;COB;9;1
CID;H2;3;M;COB;10;0
CID;H2;3;M;COB;11;0
CID;H2;3;M;COB;12;0
CID;H2;3;M;COB;13;0
CID;H2;3;M;COB;14;0
CID;H2;3;M;COB;15;0
CID;H2;3;M;COB;16;0
CID;H2;3;M;COB;17;0
CID;H2;3;M;COB;18;0
CID;H2;3;M;COB;19;0
CID;H2;3;M;EHP2;0;0
CID;H2;3;M;EHP2;1;0
CID;H2;3;M;EHP2;2;0
CID;H2;3;M;EHP2;3;0
CID;H2;3;M;EHP2;4;0
CID;H2;3;M;EHP2;5;0
CID;H2;3;M;EHP2;6;0
CID;H2;3;M;EHP2;7;0
CID;H2;3;M;EHP2;8;0
CID;H2;3;M;EHP2;9;0
CID;H2;3;M;EHP2;10;0
CID;H2;3;M;EHP2;11;0
CID;H2;3;M;EHP2;12;0
CID;H2;3;M;EHP2;13;0
CID;H2;3;M;EHP2;14;0
CID;H2;3;M;EHP2;15;0
CID;H2;3;M;EHP2;16;0
CID;H2;3;M;EHP2;17;0
CID;H2;3;M;EHP2;18;0
CID;H2;3;M;EHP2;19;0
CID;H2;3;M;WB;0;0
CID;H2;3;M;WB;1;0
CID;H2;3;M;WB;2;0
CID;H2;3;M;WB;3;0
CID;H2;3;M;WB;4;0
CID;H2;3;M;WB;5;0
CID;H2;3;M;WB;6;0
CID;H2;3;M;WB;7;0
CID;H2;3;M;WB;8;0
CID;H2;3;M;WB;9;0
CID;H2;3;M;WB;10;0
CID;H2;3;M;WB;11;0
CID;H2;3;M;WB;12;0
CID;H2;3;M;WB;13;0
CID;H2;3;M;WB;14;0
CID;H2;3;M;WB;15;0
CID;H2;3;M;WB;16;0
CID;H2;3;M;WB;17;0
CID;H2;3;M;WB;18;0
CID;H2;3;M;WB;19;0
CID;H2;3;M;WPB;0;0
CID;H2;3;M;WPB;1;0
CID;H2;3;M;WPB;2;0
CID;H2;3;M;WPB;3;0
CID;H2;3;M;WPB;4;0
CID;H2;3;M;WPB;5;0
CID;H2;3;M;WPB;6;0
CID;H2;3;M;WPB;7;0
CID;H2;3;M;WPB;8;0
CID;H2;3;M;WPB;9;0
CID;H2;3;M;WPB;10;0
CID;H2;3;M;WPB;11;0
CID;H2;3;M;WPB;12;0
CID;H2;3;M;WPB;13;0
CID;H2;3;M;WPB;14;0
CID;H2;3;M;WPB;15;0
CID;H2;3;M;WPB;16;0
CID;H2;3;M;WPB;17;0
CID;H2;3;M;WPB;18;0
CID;H2;3;M;WPB;19;0
CID;H2;3;M;EHP;0;0
CID;H2;3;M;EHP;1;0
CID;H2;3;M;EHP;2;0
CID;H2;3;M;EHP;3;0
CID;H2;3;M;EHP;4;0
CID;H2;3;M;EHP;5;0
CID;H2;3;M;EHP;6;0
CID;H2;3;M;EHP;7;0
CID;H2;3;M;EHP;8;0
CID;H2;3;M;EHP;9;0
CID;H2;3;M;EHP;10;0
CID;H2;3;M;EHP;11;0
CID;H2;3;M;EHP;12;0
CID;H2;3;M;EHP;13;0
CID;H2;3;M;EHP;14;0
CID;H2;3;M;EHP;15;0
CID;H2;3;M;EHP;16;0
CID;H2;3;M;EHP;17;0
CID;H2;3;M;EHP;18;0
CID;H2;3;M;EHP;19;0
CID;H2;3;S;ER;0;460
CID;H2;3;S;ER;1;460
CID;H2;3;S;ER;2;460
CID;H2;3;S;ER;3;460
CID;H2;3;S;ER;4;460
CID;H2;3;S;ER;5;460
CID;H2;3;S;ER;6;460
CID;H2;3;S;ER;7;460
CID;H2;3;S;ER;8;460
CID;H2;3;S;ER;9;460
CID;H2;3;S;ER;10;1381
CID;H2;3;S;ER;11;1381
CID;H2;3;S;ER;12;1381
CID;H2;3;S;ER;13;1381
CID;H2;3;S;ER;14;1381
CID;H2;3;S;ER;15;1381
CID;H2;3;S;ER;16;1381
CID;H2;3;S;ER;17;1381
CID;H2;3;S;ER;18;1381
CID;H2;3;S;ER;19;1381
CID;H2;3;S;GB;0;328
CID;H2;3;S;GB;1;328
CID;H2;3;S;GB;2;328
CID;H2;3;S;GB;3;328
CID;H2;3;S;GB;4;328
CID;H2;3;S;GB;5;492
CID;H2;3;S;GB;6;492
CID;H2;3;S;GB;7;492
CID;H2;3;S;GB;8;492
CID;H2;3;S;GB;9;492
CID;H2;3;S;GB;10;1230
CID;H2;3;S;GB;11;1230
CID;H2;3;S;GB;12;1230
CID;H2;3;S;GB;13;1230
CID;H2;3;S;GB;14;1230
CID;H2;3;S;GB;15;1230
CID;H2;3;S;GB;16;1230
CID;H2;3;S;GB;17;1230
CID;H2;3;S;GB;18;1230
CID;H2;3;S;GB;19;1230
CID;H2;3;S;CGB;0;410
CID;H2;3;S;CGB;1;410
CID;H2;3;S;CGB;2;410
CID;H2;3;S;CGB;3;410
CID;H2;3;S;CGB;4;410
CID;H2;3;S;CGB;5;287
CID;H2;3;S;CGB;6;287
CID;H2;3;S;CGB;7;287
CID;H2;3;S;CGB;8;287
CID;H2;3;S;CGB;9;287
CID;H2;3;S;CGB;10;123
CID;H2;3;S;CGB;11;123
CID;H2;3;S;CGB;12;123
CID;H2;3;S;CGB;13;123
CID;H2;3;S;CGB;14;123
CID;H2;3;S;CGB;15;0
CID;H2;3;S;CGB;16;0
CID;H2;3;S;CGB;17;0
CID;H2;3;S;CGB;18;0
CID;H2;3;S;CGB;19;0
CID;H2;3;S;OB;0;0
CID;H2;3;S;OB;1;0
CID;H2;3;S;OB;2;0
CID;H2;3;S;OB;3;0
CID;H2;3;S;OB;4;0
CID;H2;3;S;OB;5;0
CID;H2;3;S;OB;6;0
CID;H2;3;S;OB;7;0
CID;H2;3;S;OB;8;0
CID;H2;3;S;OB;9;0
CID;H2;3;S;OB;10;1
CID;H2;3;S;OB;11;1
CID;H2;3;S;OB;12;1
CID;H2;3;S;OB;13;1
CID;H2;3;S;OB;14;1
CID;H2;3;S;OB;15;2
CID;H2;3;S;OB;16;2
CID;H2;3;S;OB;17;2
CID;H2;3;S;OB;18;2
CID;H2;3;S;OB;19;2
CID;H2;3;S;COB;0;0
CID;H2;3;S;COB;1;0
CID;H2;3;S;COB;2;0
CID;H2;3;S;COB;3;0
CID;H2;3;S;COB;4;0
CID;H2;3;S;COB;5;0
CID;H2;3;S;COB;6;0
CID;H2;3;S;COB;7;0
CID;H2;3;S;COB;8;0
CID;H2;3;S;COB;9;0
CID;H2;3;S;COB;10;0
CID;H2;3;S;COB;11;0
CID;H2;3;S;COB;12;0
CID;H2;3;S;COB;13;0
CID;H2;3;S;COB;14;0
CID;H2;3;S;COB;15;0
CID;H2;3;S;COB;16;0
CID;H2;3;S;COB;17;0
CID;H2;3;S;COB;18;0
CID;H2;3;S;COB;19;0
CID;H2;3;S;EHP2;0;0
CID;H2;3;S;EHP2;1;0
CID;H2;3;S;EHP2;2;0
CID;H2;3;S;EHP2;3;0
CID;H2;3;S;EHP2;4;0
CID;H2;3;S;EHP2;5;0
CID;H2;3;S;EHP2;6;0
CID;H2;3;S;EHP2;7;0
CID;H2;3;S;EHP2;8;0
CID;H2;3;S;EHP2;9;0
CID;H2;3;S;EHP2;10;0
CID;H2;3;S;EHP2;11;0
CID;H2;3;S;EHP2;12;0
CID;H2;3;S;EHP2;13;0
CID;H2;3;S;EHP2;14;0
CID;H2;3;S;EHP2;15;0
CID;H2;3;S;EHP2;16;0
CID;H2;3;S;EHP2;17;0
CID;H2;3;S;EHP2;18;0
CID;H2;3;S;EHP2;19;0
CID;H2;3;S;WB;0;0
CID;H2;3;S;WB;1;0
CID;H2;3;S;WB;2;0
CID;H2;3;S;WB;3;0
CID;H2;3;S;WB;4;0
CID;H2;3;S;WB;5;0
CID;H2;3;S;WB;6;0
CID;H2;3;S;WB;7;0
CID;H2;3;S;WB;8;0
CID;H2;3;S;WB;9;0
CID;H2;3;S;WB;10;0
CID;H2;3;S;WB;11;0
CID;H2;3;S;WB;12;0
CID;H2;3;S;WB;13;0
CID;H2;3;S;WB;14;0
CID;H2;3;S;WB;15;0
CID;H2;3;S;WB;16;0
CID;H2;3;S;WB;17;0
CID;H2;3;S;WB;18;0
CID;H2;3;S;WB;19;0
CID;H2;3;S;WPB;0;0
CID;H2;3;S;WPB;1;0
CID;H2;3;S;WPB;2;0
CID;H2;3;S;WPB;3;0
CID;H2;3;S;WPB;4;0
CID;H2;3;S;WPB;5;0
CID;H2;3;S;WPB;6;0
CID;H2;3;S;WPB;7;0
CID;H2;3;S;WPB;8;0
CID;H2;3;S;WPB;9;0
CID;H2;3;S;WPB;10;0
CID;H2;3;S;WPB;11;0
CID;H2;3;S;WPB;12;0
CID;H2;3;S;WPB;13;0
CID;H2;3;S;WPB;14;0
CID;H2;3;S;WPB;15;0
CID;H2;3;S;WPB;16;0
CID;H2;3;S;WPB;17;0
CID;H2;3;S;WPB;18;0
CID;H2;3;S;WPB;19;0
CID;H2;3;S;EHP;0;0
CID;H2;3;S;EHP;1;0
CID;H2;3;S;EHP;2;0
CID;H2;3;S;EHP;3;0
CID;H2;3;S;EHP;4;0
CID;H2;3;S;EHP;5;0
CID;H2;3;S;EHP;6;0
CID;H2;3;S;EHP;7;0
CID;H2;3;S;EHP;8;0
CID;H2;3;S;EHP;9;0
CID;H2;3;S;EHP;10;0
CID;H2;3;S;EHP;11;0
CID;H2;3;S;EHP;12;0
CID;H2;3;S;EHP;13;0
CID;H2;3;S;EHP;14;0
CID;H2;3;S;EHP;15;0
CID;H2;3;S;EHP;16;0
CID;H2;3;S;EHP;17;0
CID;H2;3;S;EHP;18;0
CID;H2;3;S;EHP;19;0
CID;H2;3;L;ER;0;460
CID;H2;3;L;ER;1;460
CID;H2;3;L;ER;2;460
CID;H2;3;L;ER;3;460
CID;H2;3;L;ER;4;460
CID;H2;3;L;ER;5;460
CID;H2;3;L;ER;6;460
CID;H2;3;L;ER;7;460
CID;H2;3;L;ER;8;460
CID;H2;3;L;ER;9;460
CID;H2;3;L;ER;10;1381
CID;H2;3;L;ER;11;1381
CID;H2;3;L;ER;12;1381
CID;H2;3;L;ER;13;1381
CID;H2;3;L;ER;14;1381
CID;H2;3;L;ER;15;1381
CID;H2;3;L;ER;16;1381
CID;H2;3;L;ER;17;1381
CID;H2;3;L;ER;18;1381
CID;H2;3;L;ER;19;1381
CID;H2;3;L;GB;0;327
CID;H2;3;L;GB;1;327
CID;H2;3;L;GB;2;327
CID;H2;3;L;GB;3;327
CID;H2;3;L;GB;4;327
CID;H2;3;L;GB;5;490
CID;H2;3;L;GB;6;490
CID;H2;3;L;GB;7;490
CID;H2;3;L;GB;8;490
CID;H2;3;L;GB;9;490
CID;H2;3;L;GB;10;1225
CID;H2;3;L;GB;11;1225
CID;H2;3;L;GB;12;1225
CID;H2;3;L;GB;13;1225
CID;H2;3;L;GB;14;1225
CID;H2;3;L;GB;15;1225
CID;H2;3;L;GB;16;1225
CID;H2;3;L;GB;17;1225
CID;H2;3;L;GB;18;1225
CID;H2;3;L;GB;19;1225
CID;H2;3;L;CGB;0;408
CID;H2;3;L;CGB;1;408
CID;H2;3;L;CGB;2;408
CID;H2;3;L;CGB;3;408
CID;H2;3;L;CGB;4;408
CID;H2;3;L;CGB;5;286
CID;H2;3;L;CGB;6;286
CID;H2;3;L;CGB;7;286
CID;H2;3;L;CGB;8;286
CID;H2;3;L;CGB;9;286
CID;H2;3;L;CGB;10;122
CID;H2;3;L;CGB;11;122
CID;H2;3;L;CGB;12;122
CID;H2;3;L;CGB;13;122
CID;H2;3;L;CGB;14;122
CID;H2;3;L;CGB;15;0
CID;H2;3;L;CGB;16;0
CID;H2;3;L;CGB;17;0
CID;H2;3;L;CGB;18;0
CID;H2;3;L;CGB;19;0
CID;H2;3;L;OB;0;1
CID;H2;3;L;OB;1;1
CID;H2;3;L;OB;2;1
CID;H2;3;L;OB;3;1
CID;H2;3;L;OB;4;1
CID;H2;3;L;OB;5;2
CID;H2;3;L;OB;6;2
CID;H2;3;L;OB;7;2
CID;H2;3;L;OB;8;2
CID;H2;3;L;OB;9;2
CID;H2;3;L;OB;10;6
CID;H2;3;L;OB;11;6
CID;H2;3;L;OB;12;6
CID;H2;3;L;OB;13;6
CID;H2;3;L;OB;14;6
CID;H2;3;L;OB;15;9
CID;H2;3;L;OB;16;9
CID;H2;3;L;OB;17;9
CID;H2;3;L;OB;18;9
CID;H2;3;L;OB;19;9
CID;H2;3;L;COB;0;2
CID;H2;3;L;COB;1;2
CID;H2;3;L;COB;2;2
CID;H2;3;L;COB;3;2
CID;H2;3;L;COB;4;2
CID;H2;3;L;COB;5;2
CID;H2;3;L;COB;6;2
CID;H2;3;L;COB;7;2
CID;H2;3;L;COB;8;2
CID;H2;3;L;COB;9;2
CID;H2;3;L;COB;10;1
CID;H2;3;L;COB;11;1
CID;H2;3;L;COB;12;1
CID;H2;3;L;COB;13;1
CID;H2;3;L;COB;14;1
CID;H2;3;L;COB;15;0
CID;H2;3;L;COB;16;0
CID;H2;3;L;COB;17;0
CID;H2;3;L;COB;18;0
CID;H2;3;L;COB;19;0
CID;H2;3;L;EHP2;0;0
CID;H2;3;L;EHP2;1;0
CID;H2;3;L;EHP2;2;0
CID;H2;3;L;EHP2;3;0
